Identificador do Imóvel;Classe do Edifício;Zoneamento;Frente do Lote;Área Total do Lote;Tipo de Rua;Tipo de Viela;Formato do Lote;Nivelamento do Terreno;Tipo de Utilidades;Configuração do Lote;Inclinação do Terreno;Bairro;Condição Principal;Condição Secundária;Tipo de Construção;Estilo da Casa;Qualidade Geral;Condição Geral;Ano de Construção;Ano da Última Reforma;Tipo de Telhado;Material do Telhado;Revestimento Externo 1;Revestimento Externo 2;Tipo de Alvenaria;Área de Alvenaria;Qualidade dos Materiais Externos;Condição dos Materiais Externos;Fundação;Qualidade do Porão;Condição do Porão;Exposição do Porão;Acabamento do Porão 1;Área Acabada do Porão 1;Acabamento do Porão 2;Área Acabada do Porão 2;Área Não Acabada do Porão;Área Total do Porão;Tipo de Aquecimento;Qualidade do Aquecimento;Ar-Condicionado Central;Sistema Elétrico;Área do Primeiro Andar;Área do Segundo Andar;Área de Baixa Qualidade;Área Útil Acima do Solo;Banheiros Completos no Porão;Lavabos no Porão;Banheiros Completos Acima do Solo;Lavabos Acima do Solo;Quartos Acima do Porão;Número de Cozinhas;Qualidade da Cozinha;Total de Cômodos Acima do Solo;Funcionalidade da Casa;Número de Lareiras;Qualidade da Lareira;Tipo de Garagem;Ano da Construção da Garagem;Acabamento Interno da Garagem;Capacidade da Garagem;Área da Garagem;Qualidade da Garagem;Condição da Garagem;Entrada Pavimentada;Área do Deck de Madeira;Área da Varanda Aberta;Área da Varanda Fechada;Área da Varanda de Três Estações;Área da Varanda Telada;Área da Piscina;Qualidade da Piscina;Tipo de Cerca;Característica Extra;Valor de Características Extras;Mês da Venda;Ano da Venda;Tipo de Venda;Condição da Venda;Preço de Venda
23;20;Residencial (Baixa Dens.);75;9742;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;CollgCr;Normal;Normal;Casa Individual;Térrea;8;5;2002;2002;Quatro Águas;Asfalto;VinylSd;VinylSd;Tijolo;281;Boa;Média;Concreto;Boa;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;1777;1777;Gás Forçado;Excelente;Sim;Disjuntor;1795;0;0;1795;0;0;2;0;3;1;Boa;7;Típica;1;Boa;Anexada;2002;Rústico;2;534;Média;Média;Sim;171;159;0;0;0;0;;;;0;9;2008;Venda Direta;Normal;230000
24;120;Residencial (Média Dens.);44;4224;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;MeadowV;Normal;Normal;Geminada (Extremidade);Térrea;5;7;1976;1976;Duas Águas;Asfalto;CemntBd;CmentBd;Nenhum;0;Média;Média;Concreto;Boa;Média;Nenhuma;Alto Acabamento;840;Sem Acabamento;0;200;1040;Gás Forçado;Média;Sim;Disjuntor;1060;0;0;1060;1;0;1;0;3;1;Média;6;Típica;1;Média;Anexada;1976;Sem Acabamento;2;572;Média;Média;Sim;100;110;0;0;0;0;;;;0;6;2007;Venda Direta;Normal;129900
25;20;Residencial (Baixa Dens.);;8246;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;Sawyer;Normal;Normal;Casa Individual;Térrea;5;8;1968;2001;Duas Águas;Asfalto;Plywood;Plywood;Nenhum;0;Média;Boa;Blocos de Concreto;Média;Média;Mínima;Sala de Recreação;188;Bom Acabamento;668;204;1060;Gás Forçado;Excelente;Sim;Disjuntor;1060;0;0;1060;1;0;1;0;3;1;Boa;6;Típica;1;Média;Anexada;1968;Sem Acabamento;1;270;Média;Média;Sim;406;90;0;0;0;0;;Média Privativa;;0;5;2010;Venda Direta;Normal;154000
26;20;Residencial (Baixa Dens.);110;14230;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Esquina;Suave;NridgHt;Normal;Normal;Casa Individual;Térrea;8;5;2007;2007;Duas Águas;Asfalto;VinylSd;VinylSd;Pedra;640;Boa;Média;Concreto;Boa;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;1566;1566;Gás Forçado;Excelente;Sim;Disjuntor;1600;0;0;1600;0;0;2;0;3;1;Boa;7;Típica;1;Boa;Anexada;2007;Rústico;3;890;Média;Média;Sim;0;56;0;0;0;0;;;;0;7;2009;Venda Direta;Normal;256300
27;20;Residencial (Baixa Dens.);60;7200;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Esquina;Suave;NAmes;Normal;Normal;Casa Individual;Térrea;5;7;1951;2000;Duas Águas;Asfalto;Wd Sdng;Wd Sdng;Nenhum;0;Média;Média;Blocos de Concreto;Média;Média;Mínima;Baixo Acabamento;234;Sala de Recreação;486;180;900;Gás Forçado;Média;Sim;Disjuntor;900;0;0;900;0;1;1;0;3;1;Boa;5;Típica;0;;Separada;2005;Sem Acabamento;2;576;Média;Média;Sim;222;32;0;0;0;0;;;;0;5;2010;Venda Direta;Normal;134800
28;20;Residencial (Baixa Dens.);98;11478;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;NridgHt;Normal;Normal;Casa Individual;Térrea;8;5;2007;2008;Duas Águas;Asfalto;VinylSd;VinylSd;Pedra;200;Boa;Média;Concreto;Excelente;Média;Nenhuma;Alto Acabamento;1218;Sem Acabamento;0;486;1704;Gás Forçado;Excelente;Sim;Disjuntor;1704;0;0;1704;1;0;2;0;3;1;Boa;7;Típica;1;Boa;Anexada;2008;Rústico;3;772;Média;Média;Sim;0;50;0;0;0;0;;;;0;5;2010;Venda Direta;Normal;306000
29;20;Residencial (Baixa Dens.);47;16321;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Cul-de-sac;Suave;NAmes;Normal;Normal;Casa Individual;Térrea;5;6;1957;1997;Duas Águas;Asfalto;MetalSd;MetalSd;Nenhum;0;Média;Média;Blocos de Concreto;Média;Média;Boa;Baixo Acabamento;1277;Sem Acabamento;0;207;1484;Gás Forçado;Média;Sim;Disjuntor;1600;0;0;1600;1;0;1;0;2;1;Média;6;Típica;2;Boa;Anexada;1957;Rústico;1;319;Média;Média;Sim;288;258;0;0;0;0;;;;0;12;2006;Venda Direta;Normal;207500
30;30;Residencial (Média Dens.);60;6324;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;BrkSide;Próximo a Via Alimentadora;RRNn;Casa Individual;Térrea;4;6;1927;1950;Duas Águas;Asfalto;MetalSd;MetalSd;Nenhum;0;Média;Média;Tijolo;Média;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;520;520;Gás Forçado;Fraca;Não;Disjuntor;520;0;0;520;0;0;1;0;1;1;Fraca;4;Típica;0;;Separada;1920;Sem Acabamento;1;240;Fraca;Média;Sim;49;0;87;0;0;0;;;;0;5;2008;Venda Direta;Normal;68500
31;70;Comercial;50;8500;Pavimentada;Pavimentada;Regular;Plano;Todas Disponíveis;Interno;Suave;IDOTRR;Próximo a Via Alimentadora;Normal;Casa Individual;Sobrado;4;4;1920;1950;Mansard;Asfalto;BrkFace;BrkFace;Nenhum;0;Média;Razoável;Tijolo;Média;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;649;649;Gás Forçado;Média;Não;Disjuntor;649;668;0;1317;0;0;1;0;3;1;Média;6;Típica;0;;Separada;1920;Sem Acabamento;1;250;Média;Fraca;Não;0;54;172;0;0;0;;Média Privativa;;0;7;2008;Venda Direta;Normal;40000
32;20;Residencial (Baixa Dens.);;8544;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Cul-de-sac;Suave;Sawyer;Normal;Normal;Casa Individual;Térrea;5;6;1966;2006;Duas Águas;Asfalto;HdBoard;HdBoard;Nenhum;0;Média;Média;Blocos de Concreto;Média;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;1228;1228;Gás Forçado;Boa;Sim;Disjuntor;1228;0;0;1228;0;0;1;1;3;1;Boa;6;Típica;0;;Anexada;1966;Sem Acabamento;1;271;Média;Média;Sim;0;65;0;0;0;0;;Média Privativa;;0;6;2008;Venda Direta;Normal;149350
33;20;Residencial (Baixa Dens.);85;11049;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Esquina;Suave;CollgCr;Normal;Normal;Casa Individual;Térrea;8;5;2007;2007;Duas Águas;Asfalto;VinylSd;VinylSd;Nenhum;0;Boa;Média;Concreto;Excelente;Média;Média;Sem Acabamento;0;Sem Acabamento;0;1234;1234;Gás Forçado;Excelente;Sim;Disjuntor;1234;0;0;1234;0;0;2;0;3;1;Boa;7;Típica;0;;Anexada;2007;Rústico;2;484;Média;Média;Sim;0;30;0;0;0;0;;;;0;1;2008;Venda Direta;Normal;179900
34;20;Residencial (Baixa Dens.);70;10552;Pavimentada;Sem Acesso;Leve Irregular;Plano;Todas Disponíveis;Interno;Suave;NAmes;Normal;Normal;Casa Individual;Térrea;5;5;1959;1959;Quatro Águas;Asfalto;BrkFace;BrkFace;Nenhum;0;Média;Média;Blocos de Concreto;Média;Média;Nenhuma;Sala de Recreação;1018;Sem Acabamento;0;380;1398;Gás Forçado;Boa;Sim;Disjuntor;1700;0;0;1700;0;1;1;1;4;1;Boa;6;Típica;1;Boa;Anexada;1959;Rústico;2;447;Média;Média;Sim;0;38;0;0;0;0;;;;0;4;2010;Venda Direta;Normal;165500
35;120;Residencial (Baixa Dens.);60;7313;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;NridgHt;Normal;Normal;Geminada (Extremidade);Térrea;9;5;2005;2005;Quatro Águas;Asfalto;MetalSd;MetalSd;Tijolo;246;Excelente;Média;Concreto;Excelente;Média;Nenhuma;Alto Acabamento;1153;Sem Acabamento;0;408;1561;Gás Forçado;Excelente;Sim;Disjuntor;1561;0;0;1561;1;0;2;0;2;1;Excelente;6;Típica;1;Boa;Anexada;2005;Acabado;2;556;Média;Média;Sim;203;47;0;0;0;0;;;;0;8;2007;Venda Direta;Normal;277500
36;60;Residencial (Baixa Dens.);108;13418;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;NridgHt;Normal;Normal;Casa Individual;Sobrado;8;5;2004;2005;Duas Águas;Asfalto;VinylSd;VinylSd;Pedra;132;Boa;Média;Concreto;Excelente;Média;Média;Sem Acabamento;0;Sem Acabamento;0;1117;1117;Gás Forçado;Excelente;Sim;Disjuntor;1132;1320;0;2452;0;0;3;1;4;1;Boa;9;Típica;1;Boa;Embutida;2004;Acabado;3;691;Média;Média;Sim;113;32;0;0;0;0;;;;0;9;2006;Venda Direta;Normal;309000
37;20;Residencial (Baixa Dens.);112;10859;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Esquina;Suave;CollgCr;Normal;Normal;Casa Individual;Térrea;5;5;1994;1995;Duas Águas;Asfalto;VinylSd;VinylSd;Nenhum;0;Média;Média;Concreto;Boa;Média;Nenhuma;Sem Acabamento;0;Sem Acabamento;0;1097;1097;Gás Forçado;Excelente;Sim;Disjuntor;1097;0;0;1097;0;0;1;1;3;1;Média;6;Típica;0;;Anexada;1995;Sem Acabamento;2;672;Média;Média;Sim;392;64;0;0;0;0;;;;0;6;2009;Venda Direta;Normal;145000
38;20;Residencial (Baixa Dens.);74;8532;Pavimentada;Sem Acesso;Regular;Plano;Todas Disponíveis;Interno;Suave;NAmes;Normal;Normal;Casa Individual;Térrea;5;6;1954;1990;Quatro Águas;Asfalto;Wd Sdng;Wd Sdng;Tijolo;650;Média;Média;Blocos de Concreto;Média;Média;Nenhuma;Sala de Recreação;1213;Sem Acabamento;0;84;1297;Gás Forçado;Boa;Sim;Disjuntor;1297;0;0;1297;0;1;1;0;3;1;Média;5;Típica;1;Média;Anexada;1954;Acabado;2;498;Média;Média;Sim;0;0;0;0;0;0;;;;0;10;2009;Venda Direta;Normal;153000
